description,lat,lon,elevation
ineac_building,0.76204,24.495298,414
building_stream,0.762568,24.462684,452
pool,0.765996,24.444908,438
building_1,0.780962,24.45496,433
building_2,0.797256,24.454186,460
building_3,0.868584,24.463825,460
building_4,1.033446,24.497575,462
building_5,1.045208,24.489239,447
building_6,1.025178,24.493294,481
building_7,0.81532,24.453426,476
building_isangi,0.78492,24.272375,377
river_branch_1,0.766776,24.714922,440
river_branch_2,0.773466,24.970709,447
river_branch_3,0.865422,24.342329,399
river_branch_4,0.835635,24.615658,412
lindi_island,0.868257,25.221444,405
river_crossing_1,0.855733,25.184614,433
river_crossing_2,1.017116,24.407579,477
river_crossing_3,0.760976,24.594205,393
congo_island_1,0.857034,24.259305,370
congo_island_2,0.873222,24.249972,371
congo_island_3,0.88422,24.191043,370
fish_ponds,0.794052,24.303096,376
yangambi_tree,0.819297,24.454701,479
confluence_06_023,0.942847,24.665987,417
river_branch_5,0.852121,24.996732,497
river_bend,0.827849,24.614897,405
small_valley,1.045627,25.284681,449
building_boliambe_1,0.988414,25.237642,441
building_boliambe_2,1.014177,25.252187,454
building_boliambe_3,0.997561,25.237965,442
building_bengamisa,0.96875,25.214957,446
intersection_busukutu,0.707512,24.600067,393
river_crossing_yalufi,0.731384,24.434372,373
river_crossing_bengamisa,0.983557,25.213233,435
river_branch_6,0.795003,24.637749,429
congo_island_4,0.951843,24.183229,370
river_branch_8,0.900384,24.633407,412
river_bend_2,0.939029,24.664717,412
river_branch_9,0.893212,24.347719,429
road_intersection,0.995239,24.48843,484
road_bend,0.941717,24.477609,472
river_bend_3,1.00114,24.738642,426
river_outflow,0.968509,24.161354,375
river_branch_10,0.811823,24.996513,460
river_branch_11,0.922606,24.61223,413
river_branch_12,0.92189,24.795998,452
building_8,0.831195,24.458825,479
building_9,0.834895,24.442441,443
road_bend_2,0.891762,25.193624,444
forest_clearing,0.882555,24.852087,451
river_branch_13,0.929155,24.891889,470
building_10,0.805634,24.457899,465
building_11,0.771974,24.429518,452
river_branch_14,0.72927,24.703122,434
river_outflow_2,0.987521,24.129153,378
river_branch_15,0.8051055,24.7842075,434
